"id","Protein.Name","Accession.Number","Molecular.Weight","Identified.Peptide.Count","Protein.Group.Score","Quantitative.Value","Kinter_120720_DIA_Pool_1.mzML","Kinter_120720_DIA_Pool_2.mzML","Kinter_120720_DIA_Pool_3.mzML","Kinter_120720_DIA_Sample_01_Q11_1D.mzML","Kinter_120720_DIA_Sample_02_Q11_2D.mzML","Kinter_120720_DIA_Sample_03_Q11_3D.mzML","Kinter_120720_DIA_Sample_04_Q11_3D_20210220114346.mzML","Kinter_120720_DIA_Sample_05_Q12_1D.mzML","Kinter_120720_DIA_Sample_06_Q12_2D.mzML","Kinter_120720_DIA_Sample_07_Q12_3D.mzML","Kinter_120720_DIA_Sample_08_Q12_3D_20210220125525.mzML","Kinter_120720_DIA_Sample_09_Q13_1D.mzML","Kinter_120720_DIA_Sample_10_Q13_2D.mzML","Kinter_120720_DIA_Sample_11_Q13_3D.mzML","Kinter_120720_DIA_Sample_12_Q13_3D_20210220140656.mzML","Kinter_120720_DIA_Sample_14_Q14_1D.mzML","Kinter_120720_DIA_Sample_15_Q14_2D.mzML","Kinter_120720_DIA_Sample_16_Q14_3D.mzML","Kinter_120720_DIA_Sample_17_Q15_1D.mzML","Kinter_120720_DIA_Sample_18_Q15_2D.mzML","Kinter_120720_DIA_Sample_19_Q15_3D.mzML","Kinter_120720_DIA_Sample_20_R71_1D.mzML","Kinter_120720_DIA_Sample_21_R71_2D.mzML","Kinter_120720_DIA_Sample_22_R71_3D.mzML","Kinter_120720_DIA_Sample_23_R72_1D.mzML","Kinter_120720_DIA_Sample_24_R72_2D.mzML","Kinter_120720_DIA_Sample_25_R72_3D.mzML","Kinter_120720_DIA_Sample_26_R73_1D.mzML","Kinter_120720_DIA_Sample_27_R73_2D.mzML","Kinter_120720_DIA_Sample_28_R73_3D.mzML","Kinter_120720_DIA_Sample_29_R74_1D.mzML","Kinter_120720_DIA_Sample_30_R74_2D.mzML","Kinter_120720_DIA_Sample_31_R74_3D.mzML","Kinter_120720_DIA_Sample_32_R75_1D.mzML","Kinter_120720_DIA_Sample_33_R75_2D.mzML","Kinter_120720_DIA_Sample_34_R75_3D.mzML"
"46","sp|Q923D2|BLVRB_MOUSE Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=3","sp|Q923D2|BLVRB_MOUSE","22 kDa",6,0.999953146,0,86626200,83111030,72092430,53182650,47725190,41591650,60560290,104798100,95833280,45625120,68366770,50709580,48282340,26003710,30067440,41627740,47009010,29913600,69026290,70119610,54582560,44007440,44339810,35579150,107478200,107739100,89182810,173761300,170961300,143420300,174478200,159598100,126407900,117076800,103924300,101523600
"47","sp|P63242|IF5A1_MOUSE Eukaryotic translation initiation factor 5A-1 OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=2","sp|P63242|IF5A1_MOUSE","17 kDa",6,0.999952171,0,34016280,41171150,34892280,51954920,48827980,39183860,48571800,38668810,40085980,21085950,26068540,43289310,39083830,31012220,38038350,38644030,38096030,31366610,40121600,42214630,37764900,33637230,24704280,35862160,32422540,38728680,38228010,29880610,34252690,37127440,33887410,36191030,34056820,30777040,40695120,39524610
"48","sp|P70670|NACAM_MOUSE Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2","sp|P70670|NACAM_MOUSE","220 kDa",55,0.999952099,0,85816420,83870140,82421840,155201500,126937800,125187200,172163100,83897030,75610400,43016020,62253420,101348100,95486160,60346890,72155700,103015700,100072900,70876610,90765950,94171580,70127160,101607500,104245900,85803980,91226230,88025730,75605830,73994470,69560300,58431090,75008610,68975080,60586290,100613000,94009700,82569390
"49","sp|P51125|ICAL_MOUSE Calpastatin OS=Mus musculus OX=10090 GN=Cast PE=1 SV=2","sp|P51125|ICAL_MOUSE","85 kDa",14,0.999951683,0,7735362,10556000,16500440,7954447,5608085,5155103,19905740,4488661,4905221,12107980,10730630,7788336,5629177,3476857,25056040,5160171,6052287,9781180,4968619,5200355,4955957,5207914,6215412,4471980,7508384,5886213,4486729,5510698,4054580,15433730,4244753,8229425,3196372,3794974,11228200,4334310
"50","sp|Q07076|ANXA7_MOUSE Annexin A7 OS=Mus musculus OX=10090 GN=Anxa7 PE=1 SV=2","sp|Q07076|ANXA7_MOUSE","50 kDa",12,0.999951513,0,32936600,41147880,38697530,75904600,58806700,55554290,84631900,49304480,44639930,31514600,37532260,47329690,44448850,37133920,40721230,45542940,46393150,41465080,38504980,43509740,41614170,42541310,31810300,40203620,38060990,35523770,47046760,28027060,34951830,38839830,32212130,37555960,35768930,29340040,35899860,38005450
"51","sp|Q922B1|MACD1_MOUSE ADP-ribose glycohydrolase MACROD1 OS=Mus musculus OX=10090 GN=Macrod1 PE=1 SV=2","sp|Q922B1|MACD1_MOUSE","35 kDa",7,0.99995081,0,60661580,57339430,32558390,179248300,114471800,95449260,158687100,68445480,61126440,18311940,33677290,88264000,83421680,30635040,41600740,69683370,66978120,34207480,68415800,64448130,37340270,79869850,74214640,42104740,53638180,47359640,28898990,39382870,33187510,25443100,44941690,36649840,30275310,48591060,43546400,31246000
"52","sp|Q8CGY6|UN45B_MOUSE Protein unc-45 homolog B OS=Mus musculus OX=10090 GN=Unc45b PE=1 SV=1","sp|Q8CGY6|UN45B_MOUSE","104 kDa",24,0.99995051,0,45877640,44215750,33466330,101071800,85753780,80386800,107637000,47301590,42385450,18362110,31565960,55157110,47464630,20253540,28335360,49720570,51026870,27175400,51479200,49155720,35129770,46873260,48356080,34468750,54610550,52854220,42250200,47690560,40616070,38807810,44607110,42961370,34525450,56435220,51074910,42902680
"53","sp|P09528|FRIH_MOUSE Ferritin heavy chain OS=Mus musculus OX=10090 GN=Fth1 PE=1 SV=2","sp|P09528|FRIH_MOUSE","21 kDa",10,0.999949983,0,258530500,239127100,169156100,607556300,490870100,437369200,683360800,357929700,340098500,107940600,188933100,332307200,307566400,117190500,192491000,271008800,251248000,124744000,235891900,236196200,128258900,251182900,255699100,156137500,253153100,249206700,162750800,183056700,168703500,112110500,201066600,176385500,132699300,287185400,252823100,203203800
"54","sp|Q9CQ62|DECR_MOUSE 2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus OX=10090 GN=Decr1 PE=1 SV=1","sp|Q9CQ62|DECR_MOUSE","36 kDa",14,0.999949879,0,584626000,552621600,496552100,731130000,616086100,380964900,702516900,439880200,414781900,200827000,315030800,589932700,569802000,319039400,371415100,459661800,463822000,299901300,480175800,452245800,334803400,852923600,855104600,693298800,681378300,636526900,545263700,580925000,548727800,451620600,589387600,575720800,470878400,671832400,605037300,525766300
"55","sp|P58252|EF2_MOUSE Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2","sp|P58252|EF2_MOUSE","95 kDa",40,0.999948607,0,570302700,541955900,474815700,1044819000,866860400,756895500,1193992000,627683800,577715400,281391700,396448200,692944200,640444300,364740600,455673000,582894200,645024200,444454300,600490700,622603300,465329800,663758400,639738700,537110200,599802800,595419700,503422800,505408900,550635000,458049600,564961600,500315000,457619300,555378200,546010200,494512900
"56","sp|Q9QYG0|NDRG2_MOUSE Protein NDRG2 OS=Mus musculus OX=10090 GN=Ndrg2 PE=1 SV=1","sp|Q9QYG0|NDRG2_MOUSE","41 kDa",12,0.999948354,0,367028000,340305500,261029700,835736800,722398900,652705500,874569600,451516400,387178000,173096000,259778500,499843900,432560100,211159100,337591000,344693200,387190700,226728400,342848200,345916200,229997900,395253000,428788500,315915400,403859000,402782100,331149600,355300800,348302000,265924300,334619600,284505800,274782900,336788400,296679300,283412700
"57","sp|Q64514|TPP2_MOUSE Tripeptidyl-peptidase 2 OS=Mus musculus OX=10090 GN=Tpp2 PE=1 SV=3","sp|Q64514|TPP2_MOUSE","140 kDa",26,0.999948116,0,20753210,19415190,17453840,30725150,27078810,27609570,38798180,26833400,22818460,13936710,17457670,25061570,24249760,14317450,19478800,22117720,24956130,17210030,25596730,20970630,17531530,20450110,18807030,16700120,20421300,18436440,16355540,16794990,19737320,16362890,18560430,16888550,15082570,17478770,17436560,14616600
"58","sp|O55143|AT2A2_MOUSE Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus OX=10090 GN=Atp2a2 PE=1 SV=2","sp|O55143|AT2A2_MOUSE","115 kDa",47,0.999947971,0,2506881000,2684589000,2607318000,4850497000,3973171000,3815526000,5200503000,2946698000,2679312000,1.759e+09,2165118000,3191872000,3004873000,2308287000,2658215000,2940505000,3031316000,2614048000,2969700000,3049550000,2812323000,3228968000,3011849000,3386364000,2328979000,2396080000,2553018000,1979374000,2428786000,2309463000,2798511000,2685338000,2810113000,2563625000,2773642000,2962828000
"59","sp|P14824|ANXA6_MOUSE Annexin A6 OS=Mus musculus OX=10090 GN=Anxa6 PE=1 SV=3","sp|P14824|ANXA6_MOUSE","76 kDa",42,0.999947633,0,704107700,697436900,660957100,1287468000,1120254000,1080146000,1483533000,893407900,799839300,465541300,660002800,963091100,868539100,598518600,706522300,713505600,750439500,559041600,680219700,695412100,539740900,784507400,765988100,717682300,709876700,740714500,680805500,592867700,618591200,551867300,633327200,596834800,521601200,608054100,595028900,560540100
"60","sp|O35459|ECH1_MOUSE Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus OX=10090 GN=Ech1 PE=1 SV=1","sp|O35459|ECH1_MOUSE","36 kDa",15,0.999947559,0,326666700,343940900,284992900,547192500,412660600,325626800,587716500,194895800,182986800,97179480,132613900,308254000,291307500,173831900,223708700,239024700,226532300,168624300,225126900,228844200,176824900,764625200,716749900,620011000,512786000,481275800,447435200,369812600,389512000,351621100,456255700,396190600,390435200,492401000,534319900,476917200
"61","sp|Q922Y1|UBXN1_MOUSE UBX domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ubxn1 PE=1 SV=1","sp|Q922Y1|UBXN1_MOUSE","34 kDa",5,0.999947529,0,15427070,15610560,13806550,24536360,20811530,11447660,22737810,21202490,19094810,7986625,13505820,19390890,19070650,10487730,14379110,18646220,17353570,12189520,18741800,19177400,13928760,16388310,15485770,11566400,16610280,14300750,11807600,14315200,13646120,11038830,12962040,13411260,10899870,13798370,12812830,11176000
"62","sp|O88543|CSN3_MOUSE COP9 signalosome complex subunit 3 OS=Mus musculus OX=10090 GN=Cops3 PE=1 SV=3","sp|O88543|CSN3_MOUSE","48 kDa",10,0.999946897,0,43779240,41947850,40273470,70401490,66388600,70145410,76084160,52294420,48393260,28263460,40059760,52148320,48918070,29363460,39682100,40955240,48363200,34406210,42736820,46314210,37000550,45439400,52611510,43432180,44885920,47570020,43245700,41984850,42779110,37372790,41133330,37618980,37265230,44026870,38902390,38161710
"63","sp|Q99KI0|ACON_MOUSE Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1","sp|Q99KI0|ACON_MOUSE","85 kDa",39,0.999946443,0,5759725000,5928938000,5421654000,9544088000,7936301000,7533553000,10390280000,6352744000,5919519000,3305191000,4529733000,6817630000,6501850000,4406923000,5418179000,5628874000,5667347000,4178885000,6644365000,6697334000,5236509000,6767854000,5953491000,6038056000,6060812000,5812172000,5.423e+09,5000624000,5070719000,4727848000,5571776000,5511055000,4854099000,5796635000,6091018000,5634006000
"64","sp|Q8VDD5|MYH9_MOUSE Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4","sp|Q8VDD5|MYH9_MOUSE","226 kDa",64,0.999946273,0,80166270,80700830,72831300,102138500,84121910,69468410,99759070,96527510,81899810,48633860,61793960,83571850,76214510,47210480,59853510,89183300,83033050,63442400,73761270,75600520,58757520,95954990,91709890,77439880,113772200,112116900,99243640,119873400,130215900,103233500,95236440,83511490,81717470,83440100,76089590,73073430
"65","sp|Q8VD26|TM143_MOUSE Transmembrane protein 143 OS=Mus musculus OX=10090 GN=Tmem143 PE=1 SV=1","sp|Q8VD26|TM143_MOUSE","52 kDa",9,0.999945184,0,7225900,7793101,5421386,14461630,8786158,4135959,10782370,8348601,7244513,1880694,3814768,9938910,8819387,3172014,5541466,7327904,9285186,4217660,9033932,9532379,5674695,8254021,8472915,5264913,7982478,6584075,4261700,6280306,4568382,2935328,5725444,4605155,3334826,6456449,5493518,4465361
"66","sp|Q8K183|PDXK_MOUSE Pyridoxal kinase OS=Mus musculus OX=10090 GN=Pdxk PE=1 SV=1","sp|Q8K183|PDXK_MOUSE","35 kDa",8,0.999945064,0,8149222,8542347,6686152,17957850,14720480,16039620,20457180,9614577,9556534,3515137,6041717,10665780,10114420,4046553,6467652,8540331,9854037,5018511,9566865,6364627,6195911,6966448,10690110,5871509,9443966,10146740,6961470,8563880,5633239,5329272,9158974,7295591,4448561,9658974,8798921,6744169
"67","sp|P51174|ACADL_MOUSE Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadl PE=1 SV=2","sp|P51174|ACADL_MOUSE","48 kDa",23,0.999944653,0,1710875000,1568874000,1463584000,2850091000,2191248000,1594594000,2817058000,1556381000,1399025000,788097100,1031252000,1846052000,1768055000,1160206000,1293876000,1517126000,1591463000,1118653000,1616676000,1635465000,1262534000,2142963000,2262788000,1769002000,1929108000,1937952000,1607320000,1663620000,1609411000,1289539000,1834056000,1583804000,1391252000,1937603000,1867884000,1633039000
"68","sp|Q68FD5|CLH1_MOUSE Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3","sp|Q68FD5|CLH1_MOUSE","192 kDa",57,0.999944564,0,198507200,197031500,174208300,298739200,265101000,223298900,321910600,248197500,224256600,121261300,176913000,230210100,219538500,130288000,163226400,198740500,210353800,150328700,219520700,222233400,166814100,224886800,237515200,192842200,208021700,208465700,176493600,181547500,186360300,156495500,188885800,176028300,156493800,190519600,180467200,170211300
"69","sp|Q9CR68|UCRI_MOUSE Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrfs1 PE=1 SV=1","sp|Q9CR68|UCRI_MOUSE","29 kDa",10,0.99994418,0,1078587000,1140433000,1081262000,1506050000,1330780000,1070771000,1661116000,1136318000,1019534000,590303400,837916200,1271663000,1143322000,858165100,906715200,1108189000,1022882000,811608500,1131319000,1091517000,978359700,1379879000,1212738000,1202359000,1166196000,1114436000,1056342000,1062206000,1023646000,945912700,1138276000,1159063000,1009862000,1138761000,1225104000,1147774000
"70","sp|Q7TMY8|HUWE1_MOUSE E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus OX=10090 GN=Huwe1 PE=1 SV=5","sp|Q7TMY8|HUWE1_MOUSE","483 kDa",40,0.999944156,0,18581840,18257220,17296890,32618930,27132170,25187910,34899290,23922240,21148690,10203680,17202150,22360970,22302220,13557190,16510200,19024850,19899670,13383590,19382480,20090220,14779790,20989810,19331700,17719820,19549060,17985810,17867970,13979130,15167460,12692370,14151990,14494710,12316570,16381750,17507560,15035270
"71","sp|Q9D1X0|NOL3_MOUSE Nucleolar protein 3 OS=Mus musculus OX=10090 GN=Nol3 PE=1 SV=1","sp|Q9D1X0|NOL3_MOUSE","25 kDa",6,0.999944083,0,10994710,10043210,9094990,21329860,17185090,11710420,21504980,13110350,11215500,4954760,8117074,14349890,11855480,6956305,8333142,14033480,12875770,8682082,12125660,9948442,8042459,14949930,14143460,11627770,10864780,12796980,9532170,9622899,10326680,9917316,11679390,9447170,9443769,11579320,11420800,10498030
"72","sp|Q8K1Z0|COQ9_MOUSE Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Mus musculus OX=10090 GN=Coq9 PE=1 SV=1","sp|Q8K1Z0|COQ9_MOUSE","35 kDa",8,0.999943963,0,215635500,218438300,198370400,441166800,362340100,328537800,503725800,241593500,233244400,128377000,186909000,282412500,287121000,165966400,217137900,224787100,242697400,161592000,241757000,251706300,190735600,224995000,226288200,185751900,199100500,209681900,170937300,196369800,187068800,163613600,199863100,193945100,178040100,192972200,181124600,166527500
"73","sp|Q9D892|ITPA_MOUSE Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2","sp|Q9D892|ITPA_MOUSE","22 kDa",5,0.999943089,0,22696000,23476150,13409640,64445510,49195030,49755350,67640210,30943720,28124650,7524873,14681740,26287410,24914130,9681355,13776020,22045250,22285210,10311490,23837710,22725680,15197870,24122080,27434360,15343740,25523210,26080050,19140420,25914720,25256950,18598970,27984840,20881250,18367320,25372130,21945760,18342170
"74","sp|Q9CQ60|6PGL_MOUSE 6-phosphogluconolactonase OS=Mus musculus OX=10090 GN=Pgls PE=1 SV=1","sp|Q9CQ60|6PGL_MOUSE","27 kDa",11,0.999942903,0,37583720,38262870,28394810,56078940,54912200,20748610,46424890,48914530,44555320,16924970,32524800,49439730,39781390,17764860,28364270,38807810,41543460,18824210,40044320,38652730,24883460,41041940,40253710,29067710,41429260,39484960,28046510,36406560,33114350,29127450,34312350,35352290,27366340,38895430,36728560,30350630
"75","sp|Q91ZJ5|UGPA_MOUSE UTP--glucose-1-phosphate uridylyltransferase OS=Mus musculus OX=10090 GN=Ugp2 PE=1 SV=3","sp|Q91ZJ5|UGPA_MOUSE","57 kDa",25,0.999942659,0,376360000,376924900,329047500,553814500,493255900,436896900,597060200,418338300,397195900,206024600,290112500,330770300,302730500,190144700,222379900,500836100,540547500,348237700,481480900,466405000,350064000,346652300,354910200,301766200,384551300,382404800,333829200,354271700,369858100,311309000,329190600,319310600,281703900,384296300,368977900,351970200
"76","sp|Q61838|PZP_MOUSE Pregnancy zone protein OS=Mus musculus OX=10090 GN=Pzp PE=1 SV=3","sp|Q61838|PZP_MOUSE","166 kDa",46,0.99994228,0,750708100,710421000,630515800,516641300,438607900,359539100,563476100,392575800,351935400,175663000,263108900,565041000,540491700,307396200,382351900,502626400,524624600,344536500,657277900,653058200,462526200,672133500,694290600,512532700,810876300,785814300,609282400,1242225000,1145201000,939790500,1223066000,1124777000,948581400,1126589000,1038679000,884364800
"77","sp|Q9D0K2|SCOT1_MOUSE Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Oxct1 PE=1 SV=1","sp|Q9D0K2|SCOT1_MOUSE","56 kDa",14,0.999942098,0,144214200,148143900,140141400,294215200,213169400,149013400,251871100,176582700,172163800,113808100,138718000,195768700,172676100,127215200,144879500,160119400,150762500,154779900,171886200,163516700,167347200,200832700,197464600,184663200,161654400,159393200,170772200,121817500,154771000,144414800,179726400,133692800,155522200,142869500,151620400,165569300
"78","sp|P03893|NU2M_MOUSE NADH-ubiquinone oxidoreductase chain 2 OS=Mus musculus OX=10090 GN=Mtnd2 PE=1 SV=2","sp|P03893|NU2M_MOUSE","39 kDa",3,0.99994194,0,240594.2,247360.6,619417,538978.8,769847.2,265784.7,417810.9,727429.1,369368.3,135078.6,589698.3,324757.7,377475.3,467851.8,918272.7,555163,425436.5,696568.3,352356.5,395600.8,576359.6,554603.7,1161925,511992.7,243555.1,395133.7,397550.6,217753.7,1463992,460576.7,400766.5,578829.1,315058.1,1152974,457225.1,794068.6
"79","sp|P70404|IDHG1_MOUSE Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus OX=10090 GN=Idh3g PE=1 SV=1","sp|P70404|IDHG1_MOUSE","43 kDa",10,0.999940422,0,322774900,326993200,261163800,642431700,505725300,514210100,765011500,376486500,326251600,145860500,235843800,389970700,364683700,198355500,253988300,281424400,290563800,184170700,355093400,348123800,252840900,387909000,381649800,296927600,313794900,299095600,240483600,289335600,279263000,225168500,323649300,301024900,260358700,320174900,318880400,289689800
"80","sp|P17742|PPIA_MOUSE Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=2","sp|P17742|PPIA_MOUSE","18 kDa",9,0.999939509,0,172316200,171333000,115794800,317662200,250419000,149035400,233709400,241350600,217408500,108789000,139585500,248100500,210923700,125727700,147012300,201887800,197368800,132737700,205757400,188218000,159960500,191241800,181380900,143484200,192513000,179010400,154891400,140488300,159334100,139378100,157123600,140211900,126081100,141913700,143102800,145919400
"81","sp|Q8BTM8|FLNA_MOUSE Filamin-A OS=Mus musculus OX=10090 GN=Flna PE=1 SV=5","sp|Q8BTM8|FLNA_MOUSE","281 kDa",45,0.9999393,0,49104690,50896560,43512230,69206980,59930840,57810120,76185310,46111150,44288330,21528370,33185470,58869300,54816720,28933470,37196600,53891490,57518760,36704570,51003740,49820900,36760870,56480530,54621400,43476550,58742300,50422880,42645460,47721260,46421730,42037580,46574120,42958960,34824580,52321640,50210520,43071370
"82","sp|Q9R0Y5|KAD1_MOUSE Adenylate kinase isoenzyme 1 OS=Mus musculus OX=10090 GN=Ak1 PE=1 SV=1","sp|Q9R0Y5|KAD1_MOUSE","22 kDa",17,0.999939239,0,1014926000,1032650000,890008600,1625336000,1564234000,873406600,1558782000,1316379000,1306616000,724236600,985397200,1508019000,1427701000,754340300,824651100,1324443000,1329840000,902664500,1240529000,1182834000,814400700,1142508000,1155822000,996961100,1104780000,1262761000,1000281000,1012938000,950072000,778820800,1067589000,1038483000,799946400,1079229000,1037161000,803485000
"83","sp|Q8CGA0|PPM1F_MOUSE Protein phosphatase 1F OS=Mus musculus OX=10090 GN=Ppm1f PE=1 SV=1","sp|Q8CGA0|PPM1F_MOUSE","50 kDa",7,0.999938995,0,2695627,2307874,2083709,5128158,5056720,4131511,6847179,3791214,4108761,2067193,2582641,3761208,3587847,2198449,1897214,3962576,3356400,2357731,3126178,2740832,2073255,3249518,3911113,3835397,2993841,3534251,2814711,2073039,2592984,2481468,2917460,2248873,1797999,2843668,2624035,2121679
"84","sp|Q9R0P3|ESTD_MOUSE S-formylglutathione hydrolase OS=Mus musculus OX=10090 GN=Esd PE=1 SV=1","sp|Q9R0P3|ESTD_MOUSE","31 kDa",9,0.999938482,0,47152300,42938830,29385140,117546700,81391530,74036570,146356200,60803270,54401570,17571150,31459220,61885750,55545690,20939800,31625380,54805110,54684890,25701470,56245430,52162410,31800660,57179870,55938550,31446020,52596440,48339840,31851330,40582680,36981140,26705950,37488930,33697670,26830630,47580780,42633100,34070210
"85","tr|E9Q616|E9Q616_MOUSE AHNAK nucleoprotein (desmoyokin) OS=Mus musculus OX=10090 GN=Ahnak PE=1 SV=1","tr|E9Q616|E9Q616_MOUSE","604 kDa",72,0.9999382,0,59435110,67428070,56759720,121609300,101846300,78706380,127637700,73849350,67069670,28915780,49674460,85031200,73645300,41928380,56511730,101290000,81694140,54848930,75126960,72156250,56353170,87369910,76158540,62335020,73395070,65327410,57971250,46498660,46676770,45878290,51007550,51441000,47534940,59419390,60769840,56413100
"86","sp|Q9CXI0|COQ5_MOUSE 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Mus musculus OX=10090 GN=Coq5 PE=1 SV=2","sp|Q9CXI0|COQ5_MOUSE","37 kDa",10,0.999937762,0,16459720,15293550,12723710,28158610,22395000,15081590,25255070,17154470,15078230,6253642,10410200,20126160,16756270,8752613,13213850,14165360,14741490,8677108,18353850,15750630,11045070,20989770,23654030,17241110,18266480,16188980,13983150,17222730,15342760,12331750,17450410,14501570,12430040,15770050,14109630,11802390
"87","sp|Q3U1J4|DDB1_MOUSE DNA damage-binding protein 1 OS=Mus musculus OX=10090 GN=Ddb1 PE=1 SV=2","sp|Q3U1J4|DDB1_MOUSE","127 kDa",26,0.999936961,0,36135880,34114910,27865930,65731180,54120190,41427760,70654480,42100120,38033170,18889800,26370700,44623910,43643180,23120560,33693930,34793730,35984320,24855120,36958940,37705570,25620690,38179270,36971360,29802570,37441500,33162340,28101010,27793730,29463580,22353850,28085370,27107900,21685470,32447540,30049790,25919250
"88","sp|Q149B8|PERM1_MOUSE PGC-1 and ERR-induced regulator in muscle protein 1 OS=Mus musculus OX=10090 GN=Perm1 PE=1 SV=2","sp|Q149B8|PERM1_MOUSE","85 kDa",10,0.999936634,0,31732160,30207680,29650370,60683030,59823020,44960490,62023570,34295100,31572990,16038050,26369250,43703030,43478610,24578880,29814810,40586020,42326950,30332110,35524350,39113020,26364100,26335570,30959960,23147590,27060530,27419220,21496720,27254350,22965320,20150200,28693230,25906300,20942900,27530200,26080190,24343900
"89","sp|P80314|TCPB_MOUSE T-complex protein 1 subunit beta OS=Mus musculus OX=10090 GN=Cct2 PE=1 SV=4","sp|P80314|TCPB_MOUSE","57 kDa",22,0.999936162,0,61921370,60159610,62825060,113729400,86088680,61716520,125942100,79313880,71200540,44201230,54552240,77047210,73491590,51825370,60855100,65096000,70350420,58037800,72483400,76489470,64067430,70527680,70804200,67130520,64396210,65564900,64745020,56837300,59217290,52910310,58982390,54723270,54917870,66176600,68020410,62344330
"90","sp|P35486|ODPA_MOUSE Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus OX=10090 GN=Pdha1 PE=1 SV=1","sp|P35486|ODPA_MOUSE","43 kDa",19,0.999936131,0,1386531000,1352674000,1318775000,2147080000,1800175000,1271593000,1908198000,1574700000,1492135000,872494100,1188969000,1742117000,1630058000,1159152000,1316628000,1386872000,1477622000,1214097000,1641585000,1656479000,1359643000,1478725000,1513778000,1365228000,1318488000,1378874000,1209334000,1233721000,1227385000,1067580000,1349120000,1157511000,1089970000,1339517000,1261110000,1190654000
